date,SO2op1,SO2op2,T,SO2,NO2
2022-06-22 09:06:24,389.807,345.705,20.844,448,0
2022-06-22 09:06:54,390.261,345.983,20.875,448,0
2022-06-22 09:07:24,390.261,345.983,20.844,448,0
2022-06-22 09:07:54,389.708,345.844,20.875,448,0
2022-06-22 09:08:24,389.708,345.844,20.875,448,0
2022-06-22 09:08:54,389.647,345.854,20.875,448,0
2022-06-22 09:09:24,389.647,345.854,20.875,448,0
2022-06-22 09:09:54,389.271,345.868,20.875,448,0
2022-06-22 09:10:24,389.271,345.868,20.875,448,0
2022-06-22 09:10:54,389.434,345.93,20.844,448,0
2022-06-22 09:11:24,389.434,345.93,20.875,448,0
2022-06-22 09:11:54,389.434,345.93,20.875,448,0
2022-06-22 09:12:24,389.184,345.884,20.875,448,0
2022-06-22 09:12:54,389.184,345.884,20.875,448,0
2022-06-22 09:13:24,389.585,346.076,20.875,448,0
2022-06-22 09:13:54,389.585,346.076,20.875,448,0
2022-06-22 09:14:24,388.948,345.638,20.875,448,0
2022-06-22 09:14:54,388.948,345.638,20.875,448,0
2022-06-22 09:15:24,389.299,346.115,20.906,448,0
2022-06-22 09:15:54,389.299,346.115,20.875,448,0
2022-06-22 10:31:28,377.234,345.801,21.125,224,0
2022-06-22 10:31:58,376.924,345.713,21.125,224,0
2022-06-22 10:32:28,376.924,345.713,21.125,224,0
2022-06-22 10:32:58,376.891,346.078,21.125,224,0
2022-06-22 10:33:28,376.891,346.078,21.125,224,0
2022-06-22 10:33:58,376.844,345.976,21.125,224,0
2022-06-22 10:34:28,376.844,345.976,21.125,224,0
2022-06-22 10:34:58,376.623,345.878,21.125,224,0
2022-06-22 10:35:28,376.623,345.878,21.125,224,0
2022-06-22 10:35:58,376.795,345.719,21.125,224,0
2022-06-22 10:36:28,376.795,345.719,21.125,224,0
2022-06-22 10:36:58,376.618,346.267,21.125,224,0
2022-06-22 10:37:28,376.618,346.267,21.125,224,0
2022-06-22 10:37:58,377.074,345.956,21.125,224,0
2022-06-22 10:38:28,377.074,345.956,21.125,224,0
2022-06-22 10:38:58,376.542,345.555,21.125,224,0
2022-06-22 10:39:28,376.542,345.555,21.125,224,0
2022-06-22 10:39:58,376.658,345.987,21.125,224,0
2022-06-22 10:40:28,376.658,345.987,21.125,224,0
2022-06-22 10:40:58,376.557,345.703,21.125,224,0
2022-06-22 10:41:28,376.557,345.703,21.125,224,0
2022-06-22 10:41:58,376.154,346.072,21.125,224,0
2022-06-22 12:35:04,362.58,345.67,21.1875,0,0
2022-06-22 12:35:34,362.58,345.67,21.1875,0,0
2022-06-22 12:36:04,362.887,345.767,21.1875,0,0
2022-06-22 12:36:34,362.887,345.767,21.1875,0,0
2022-06-22 12:37:04,362.075,345.547,21.1875,0,0
2022-06-22 12:37:34,362.075,345.547,21.1875,0,0
2022-06-22 12:38:04,362.94,345.874,21.1875,0,0
2022-06-22 12:38:34,362.94,345.874,21.1875,0,0
2022-06-22 12:39:04,362.602,345.79,21.1875,0,0
2022-06-22 12:39:34,362.602,345.79,21.1875,0,0
2022-06-22 12:40:04,362.732,346.109,21.1875,0,0
2022-06-22 12:40:34,362.732,346.109,21.1875,0,0
2022-06-22 12:41:04,362.479,345.781,21.1875,0,0
2022-06-22 12:41:34,362.479,345.781,21.1875,0,0
2022-06-22 12:42:04,362.306,345.812,21.1875,0,0
2022-06-22 12:42:34,362.306,345.812,21.1875,0,0
2022-06-22 12:43:04,362.711,345.745,21.1875,0,0
2022-06-22 12:43:34,362.711,345.745,21.1875,0,0
2022-06-22 12:44:04,362.377,345.864,21.1875,0,0
2022-06-22 12:44:34,362.377,345.864,21.1875,0,0
2022-06-22 18:04:05,236.247,345.316,20.875,0,1088
2022-06-22 18:04:35,235.846,345.028,20.875,0,1088
2022-06-22 18:05:06,235.846,345.028,20.875,0,1088
2022-06-22 18:05:36,235.629,345.053,20.875,0,1088
2022-06-22 18:06:06,235.629,345.053,20.875,0,1088
2022-06-22 18:06:36,235.182,344.928,20.875,0,1088
2022-06-22 18:07:06,235.182,344.928,20.875,0,1088
2022-06-22 18:07:36,235.866,344.852,20.875,0,1088
2022-06-22 18:08:06,235.866,344.852,20.875,0,1088
2022-06-22 18:08:36,235.27,345.17,20.875,0,1088
2022-06-22 18:09:06,235.27,345.17,20.875,0,1088
2022-06-22 18:09:36,235.464,345.287,20.875,0,1088
2022-06-22 18:10:06,235.464,345.287,20.875,0,1088
2022-06-22 18:10:36,235.13,344.685,20.875,0,1088
2022-06-22 18:11:06,235.13,344.685,20.875,0,1088
2022-06-22 18:11:36,234.805,345.219,20.875,0,1088
2022-06-22 18:12:06,234.805,345.219,20.844,0,1088
2022-06-22 18:12:36,234.734,345.233,20.844,0,1088
2022-06-22 18:13:06,234.734,345.233,20.844,0,1088
2022-06-22 18:13:36,235.034,345.063,20.875,0,1088
2022-06-22 18:14:06,235.034,345.063,20.844,0,1088
2022-06-22 18:14:36,234.904,345.126,20.844,0,1088
2022-06-22 18:15:06,234.904,345.126,20.844,0,1088
2022-06-22 18:15:36,234.796,345.18,20.844,0,1088
2022-06-22 18:16:06,234.796,345.18,20.844,0,1088
2022-06-22 18:16:36,234.461,345.07,20.844,0,1088
2022-06-22 18:17:06,234.461,345.07,20.844,0,1088
2022-06-22 18:17:36,234.894,344.986,20.844,0,1088
2022-06-22 18:18:06,234.894,344.986,20.844,0,1088
2022-06-22 18:18:36,234.682,344.995,20.844,0,1088
2022-06-22 18:19:06,234.682,344.995,20.844,0,1088
2022-06-22 18:19:36,234.286,345.246,20.844,0,1088
2022-06-22 18:28:07,284.741,345.245,20.8125,0,544
2022-06-22 18:28:37,284.852,345.28,20.844,0,544
2022-06-22 18:29:07,284.852,345.28,20.8125,0,544
2022-06-22 18:29:37,285.068,345.3,20.8125,0,544
2022-06-22 18:30:07,285.068,345.3,20.8125,0,544
2022-06-22 18:30:37,285.038,345.085,20.8125,0,544
2022-06-22 18:31:07,285.038,345.085,20.8125,0,544
2022-06-22 18:31:37,285.197,345.349,20.8125,0,544
2022-06-22 18:32:07,285.197,345.349,20.8125,0,544
2022-06-22 18:32:37,284.9,345.331,20.8125,0,544
2022-06-22 18:33:07,284.9,345.331,20.8125,0,544
2022-06-22 18:33:37,285.095,345.631,20.8125,0,544
2022-06-22 18:34:07,285.095,345.631,20.8125,0,544
2022-06-22 18:34:37,285.065,345.19,20.8125,0,544
2022-06-22 18:35:07,285.065,345.19,20.8125,0,544
2022-06-22 18:35:37,285.033,345.49,20.8125,0,544
2022-06-22 18:36:07,285.033,345.49,20.8125,0,544
2022-06-22 18:36:37,284.82,345.14,20.8125,0,544
2022-06-22 18:37:07,284.82,345.14,20.8125,0,544
2022-06-22 18:37:37,285.324,345.467,20.8125,0,544
2022-06-22 18:38:07,285.324,345.467,20.7815,0,544
2022-06-22 18:38:37,284.982,345.5,20.8125,0,544
2022-06-22 18:39:07,284.982,345.5,20.7815,0,544
2022-06-22 18:39:37,285.302,345.375,20.8125,0,544
2022-06-22 18:40:07,285.302,345.375,20.7815,0,544
2022-06-22 18:40:37,284.485,345.181,20.8125,0,544
2022-06-22 18:41:07,284.485,345.181,20.8125,0,544
